id,time,band,rx_sign,rx_lat,rx_lon,rx_loc,tx_sign,tx_lat,tx_lon,tx_loc,distance,azimuth,rx_azimuth,frequency,power,snr,drift,version,code
12901381341,2026-07-25 19:56:00,14,KB7GF,46.021,-118.375,DN06ta,Q6NGX,-44.521,164.958,RE25,12563,47,228,14097120,17,-19,0,WD_3.2.3,1
12902480045,2026-07-25 22:52:00,14,KB7SVP/SDR5,47.938,-119.792,DN07cw,Q6NAA,0.479,0.958,JJ00,12193,322,65,14097144,10,-19,-1,1.4A Kiwi,1
12903247776,2026-07-26 00:54:00,14,WA5DJJ,32.312,-106.708,DM62ph,Q6NSY,-89.521,-171.042,AA40,13577,64,180,14097119,3,-20,0,2.6.1,1
12903328049,2026-07-26 01:06:00,14,WA5DJJ,32.312,-106.708,DM62ph,Q6NNZ,-83.521,-69.042,FA56,13022,325,175,14097122,23,-19,0,2.6.1,1
12903368385,2026-07-26 01:12:00,14,WA5DJJ,32.312,-106.708,DM62ph,Q6NTU,33.479,-119.042,DM03,1158,93,279,14097120,17,-24,-1,2.6.1,1
12903378553,2026-07-26 01:14:00,14,KB7GF,46.021,-118.375,DN06ta,Q6NTG,-89.521,-171.042,AA40,15092,52,180,14097126,3,-19,0,WD_3.2.3,1
12903380217,2026-07-26 01:14:00,14,WA5DJJ,32.312,-106.708,DM62ph,Q6NTG,-89.521,-171.042,AA40,13577,64,180,14097121,3,-24,1,2.6.1,1
12903391404,2026-07-26 01:16:00,14,KB7GF,46.021,-118.375,DN06ta,Q6NOM,-38.521,152.958,QF61,12878,50,240,14097127,57,-21,0,WD_3.2.3,1
12903393920,2026-07-26 01:16:00,14,WA5DJJ,32.312,-106.708,DM62ph,Q6NOM,-38.521,152.958,QF61,12992,69,239,14097123,57,-23,0,2.6.1,1
12903430960,2026-07-26 01:22:00,14,WA5DJJ,32.312,-106.708,DM62ph,Q6NTU,33.479,-119.042,DM03,1158,93,279,14097124,10,-22,1,2.6.1,1
