id,time,band,rx_sign,rx_lat,rx_lon,rx_loc,tx_sign,tx_lat,tx_lon,tx_loc,distance,azimuth,rx_azimuth,frequency,power,snr,drift,version,code
12851087487,2026-07-19 00:54:00,14,W7WKR-2,48.354,-120.708,CN98pi,W6NXP,33.479,-119.042,DM03,1660,356,174,14097126,0,-22,0,WD_3.4.3-2,1
12851096308,2026-07-19 00:56:00,14,W7WKR-2,48.354,-120.708,CN98pi,W6NXP,33.479,-119.042,DM03,1660,356,174,14097128,0,-21,0,WD_3.4.3-2,1
12851142578,2026-07-19 01:04:00,14,AE6RQ,37.229,-121.875,CM97bf,W6NXP,33.479,-119.042,DM03,490,329,147,14097128,0,-25,0,1.4A Kiwi,1
12851174268,2026-07-19 01:10:00,14,KFS,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097127,0,-15,0,WD_3.3.2-2,1
12851175876,2026-07-19 01:10:00,14,KFS/SE,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097127,0,-15,0,WD_3.3.2-2,1
12851179073,2026-07-19 01:12:00,14,KL0MT,41.146,-104.792,DN71od,W6NXP,33.479,-119.042,DM03,1518,52,240,14097127,0,-24,0,3.1.0,1
12851180707,2026-07-19 01:12:00,14,W6EXT,37.354,-122.125,CM87wi,W6NXP,33.479,-119.042,DM03,513,328,146,14097131,0,-27,-1,3.0.1,1
12851183074,2026-07-19 01:12:00,14,W7WKR-2,48.354,-120.708,CN98pi,W6NXP,33.479,-119.042,DM03,1660,356,174,14097130,0,-28,0,WD_3.4.3-2,1
12851184508,2026-07-19 01:12:00,14,KFS,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097127,0,-20,0,WD_3.3.2-2,1
12851184635,2026-07-19 01:12:00,14,KPH2,38.104,-122.958,CM88mc,W6NXP,33.479,-119.042,DM03,624,327,144,14097127,0,-23,0,WD_3.3.2-2,1
12851187934,2026-07-19 01:12:00,14,KFS/SE,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097127,0,-20,0,WD_3.3.2-2,1
12851192705,2026-07-19 01:14:00,14,KX4AZ/T,44.104,-85.458,EN74gc,W6NXP,33.479,-119.042,DM03,3114,58,259,14097125,0,-27,-4,WD_3.3.2-2,1
12851195137,2026-07-19 01:14:00,14,KPH2,38.104,-122.958,CM88mc,W6NXP,33.479,-119.042,DM03,624,327,144,14097125,0,-20,-1,WD_3.3.2-2,1
12851195393,2026-07-19 01:14:00,14,KFS,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097125,0,-23,-1,WD_3.3.2-2,1
12851196889,2026-07-19 01:14:00,14,KFS/SE,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097125,0,-21,-1,WD_3.3.2-2,1
12851204253,2026-07-19 01:16:00,14,KX4AZ/T,44.104,-85.458,EN74gc,W6NXP,33.479,-119.042,DM03,3114,58,259,14097125,0,-17,-1,WD_3.3.2-2,1
12851205402,2026-07-19 01:16:00,14,KFS,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097125,0,-20,-2,WD_3.3.2-2,1
12851207506,2026-07-19 01:16:00,14,KFS/SE,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097125,0,-20,-2,WD_3.3.2-2,1
12851225865,2026-07-19 01:20:00,14,KFS,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097127,0,-15,-2,WD_3.3.2-2,1
12851228731,2026-07-19 01:20:00,14,KFS/SE,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097127,0,-15,-2,WD_3.3.2-2,1
12851234126,2026-07-19 01:22:00,14,W0CWA/K,40.438,-105.125,DN70kk,W6NXP,33.479,-119.042,DM03,1456,54,242,14097125,0,-28,3,WD_3.4.3-2,1
12851236138,2026-07-19 01:22:00,14,N6GN5,40.479,-105.042,DN70ll,W6NXP,33.479,-119.042,DM03,1464,54,242,14097126,0,-13,1,WD_3.4.0-2,1
12851236920,2026-07-19 01:22:00,14,KFS,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097126,0,-13,2,WD_3.3.2-2,1
12851242696,2026-07-19 01:22:00,14,KFS/SE,37.396,-122.375,CM87tj,W6NXP,33.479,-119.042,DM03,530,326,144,14097126,0,-13,2,WD_3.3.2-2,1
